Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances
Amaury Escoto,0.2,0.1,20,1,0.1,0,0.1,0,0,0.4,0,0.1,0,0,7.3,71.23,2.3,60,0,0,0,0,0.5,0,0,0,44.83,46.51,0.6,0.1,10
Jose Garcia,0.07,0.13,0,0.67,0.07,0,1.2,1.27,0,4.47,0,0.4,0,0,47.93,83.45,3.47,50.35,0,0,0,0,1.4,0.27,0.27,0,53.03,52.73,0.33,1,15
Jesus Angel Garza Garcia,0,0,100,0.2,0,0,1.2,0.4,0,0.2,0,0.4,0,0,12,93.33,2.8,66.67,0,0,0,0,0.6,0,0.2,0,0,75,0.4,0.2,5
Jonathan Gonzalez,0,0,50,0,0,0,0.67,0.93,0,0.6,0,0.4,0,0,24.67,89.19,2.8,53.13,0,0.07,0,0,0.4,0,0.07,0,50,51.28,0.27,0.27,15
Christian Tabó,0,0.06,47.37,0.56,0,0,0.5,0.13,0,0.19,0,0.25,0.06,0,8.25,77.27,2.19,44.44,0,0,0,0,0.13,0.06,0.19,0,28.13,42.39,0.81,0.75,16
Miguel Sansores,0.08,0.08,50,0.46,0,0,0.85,0.15,0,0.46,0,0.62,0.08,0.08,9.77,71.65,2.08,60,0,0,0,0,0.54,0.23,0.15,0,41.18,41.46,0.54,0.92,13
Pablo Bennevendo,0,0,38.46,0.06,0,0,1.76,0.65,0,1.71,0,0.47,0.12,0.18,22.94,77.95,3.59,33.93,0,0.06,0,0,0.65,0.06,0.12,0.06,36.84,51.49,0.59,0.76,17
Emerson Rodríguez,0.11,0.11,40.35,1.11,0,0,1.42,0.26,0,0.21,0,0.89,0.16,0.11,16.16,70.03,5.68,47.83,0,0,0,0,1.11,0.16,0.11,0,26.09,35.35,0.74,1.21,19
Javier Correa,0.07,0.2,47.06,1.8,0,0,0.2,0,0,0.07,0,0,0,0,4.87,69.86,1.2,75,0,0,0,0,0.4,0.07,0,0.13,40,44.44,0.07,0.4,15
Vladimir Loroña,0,0,75,0.25,0,0,0.5,0.25,0,0.38,0,0.38,0.13,0.13,10.88,85.06,3.63,25,0,0,0,0,0.38,0,0,0,66.67,57.89,0,0.13,8
Hugo Rodríguez,0,0,100,0.57,0,0,1.57,0.86,0,2.71,0,0.29,0.14,0,25,82.29,0.29,21.43,0,0,0,0,1.43,0.14,0.29,0,40,48.57,0.14,1.14,7
Gustavo Ferrareis,0,0,38.89,0.76,0,0,1.76,0.88,0,1.88,0,1.06,0.24,0.06,34,80.62,5.76,39.76,0,0.06,0,0,1.29,0.12,0.29,0,53.85,47.59,1.06,1.24,17
Omar Mendoza,0,0,80,0.31,0,0,1.85,1.31,0.08,1.69,0,1.15,0.15,0,23.38,66.45,4.62,30.38,0,0.23,0,0,1.15,0.08,0.08,0.15,63.16,59.6,1.46,0.92,13
Leonel Prieto,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,88.89,2,0,0,0,0,0,0,0,0,0,0,33.33,0,1,1
Roberto Meraz,0,0,0,0,0,0,2,0.5,0,0,0,0,0,0,12.5,80,2.5,50,0,0,0,0,0,0.5,0,0,50,62.5,0,0.5,2
Hiram Mier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
