Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances
André Silva,0.26,0.13,45.83,2.22,0.04,0,0.61,0.57,0,0.87,0,0.35,0.17,0.04,22.48,68.28,5.13,54.29,0,0.17,0,0,0.61,0.13,0.17,0,34.48,39.84,1.43,1.57,23
Lucas Cunha,0,0,100,0.27,0,0,0.6,1.13,0,4.47,0,0.2,0.07,0,63.27,86.41,6,51.92,0,0.2,0,0,1.27,0.07,0.33,0,61.29,55.26,0.8,1.2,15
Victor Gómez,0,0,57.14,0.15,0,0,1.23,0.62,0.04,1.15,0,0.73,0.23,0.15,39.08,81.79,9.54,55,0,0.38,0,0,0.81,0.08,0.04,0,42.42,49.65,0.65,0.88,26
Marko Grujić,0.04,0,56.25,0.71,0.04,0,1.75,0.96,0,1.17,0,0.42,0,0,29.71,85.97,5.92,73.77,0,0.04,0,0,0.33,0.08,0.21,0,70.93,56.81,0.38,1.67,24
Diogo Costa,0,0,100,0,0,0,0,0,0,0.82,0,0.03,0.03,0,33.85,76.72,1.3,49.09,1.91,0.48,0.12,0,0.61,0.06,0.03,0,100,92.86,0.15,0,33
Toni Martínez,0.16,0.13,54.55,1.65,0.1,0,0.68,0.06,0,0.1,0,0.13,0.23,0.13,5.87,65.38,1.68,66.67,0,0,0,0,0.29,0.06,0,0,57.45,53.55,0.55,0.9,31
Fabijan Buntić,0,0,0,0,0,0,0,0,0,0.88,0.06,0,0,0,21.3,65.01,0.7,37.01,2.94,0.33,0.27,0.06,0.85,0.27,0.09,0,75,76.92,0.03,0,33
Alexandre Penetra,0.07,0.03,50,0.66,0.03,0,1.72,1.1,0,1.79,0,0.72,0.21,0.07,40.38,78.05,5.03,47.89,0,0.24,0,0,1.21,0.17,0.17,0,52.38,57.87,0.52,0.48,29
Luquinha,0.12,0.06,50,1,0,0,1,0.06,0,0.18,0,0.59,0.18,0.06,28.24,81.25,9.94,58.82,0,0,0,0,0.82,0.12,0.12,0,41.67,41.67,1,1.53,17
André Amaro,0.04,0.04,45.45,0.48,0.04,0,1.74,1.78,0.07,3.7,0,0.59,0,0.04,42.63,86.71,2.96,58.99,0,0.41,0,0,0.93,0.19,0.33,0.04,57.45,59.13,1.11,0.96,27
