#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
392,,Bryan Ríos,0,0,21.31,69.31,3,32.76
393,,Dylan Caro,0,0,10.1,72.28,2.1,57.89
394,,Baruj Aburto,0,0,5.73,80.95,2.18,71.43
395,,Yhirbis Cordova,0.04,0.04,33.65,72.34,8.15,49.28
396,,Mario Ceballos,0,0,5.83,75.71,1.58,50
397,,Jhamir D´Arrigo,0.18,0.11,21.64,71.45,6.43,50
398,,Mauricio Montes,0,0,5.58,65.67,1.17,50
399,,Gianmarco Gambetta,0,0,26.41,70.6,2.65,42.75
400,,Carlos Aliaga,0,0.13,8.38,68.66,2.88,16.67
401,,Rodrigo Menancho,0,0,17,77.94,0.25,36.36
402,,Jhon Vega,0.08,0,22,92.05,2.92,58.82
403,,Francisco Duclos,0.06,0,17.88,70.28,2.88,32.08
404,,David Dioses,0,0,22.82,79.9,4.94,50
405,,Brando Paladines,0,0,4,75,1,0
