#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
339,,Yong-hwan Kim,0,0,60,58.06,0.4,0.3
340,,Marcos Serrato,0.09,0,38.46,48.33,0.45,0.64
341,,Jae-hun Cho,0.15,0,45.45,43.33,0.77,0.69
342,,André Luís,0.15,0,27.27,44.16,0.77,0.38
343,,Hyun Hun Kim,0.1,0,51.85,52.5,0.2,0.3
344,,Seung Won Lee,0,0,25,43.4,0.64,0.5
345,,Chang-mu Shin,0.22,0,16.67,31.58,0,0.22
346,,Jin-ya Kim,0.03,0,36.36,48.55,0.45,0.45
347,,Jae Suk Oh,0.24,0,42.86,48.13,0.6,0.84
348,,Chan-gi Ahn,0.67,0,0,100,0.33,0
349,,Kwak Seung-min,0,0,22.22,22.22,0.13,0.13
350,,Kyeong-jung Kim,0.2,0,41.18,42.65,0.67,0.53
351,,Inpyo Oh,0.03,0,48,45.6,0.16,0.53
352,,Hyun-taek Cho,0,0,69.23,41.79,0.28,0.48
353,,Ju-yeob Kim,0,0,40,40,0.2,0.5
354,,Jae-won Lee,0,0,33.33,50,0,0
355,,Park Hee-jun,0.13,0,30,35.71,0.25,0.88
356,,Han-do Lee,0,0,66.67,58.62,1,1.5
357,,Dae-kwang Lee,0.1,0,33.33,38.24,0.3,0.3
358,,In-sung Kim,0.12,0.03,27.59,41.38,0.65,0.68
359,,Kim Dae-Woo,0.18,0,50,44.26,0.36,0.64
360,,Lee Sang-min,0.09,0,29.17,30.23,0.23,0.55
361,,Kang Sang-Yun,0.33,0,50,43.75,1.33,1
362,,Dae-jung Kim,0,0,50,50,0.33,0.17
363,,Kim Do-Yoon,0.11,0,54.55,41.38,0.22,0.56
364,,Yun-seong Kang,0.15,0,41.38,40.52,0.38,1.31
365,,Kim Ye-sung,0,0,25,50,0.6,0
366,,Jeon Seong-jin,0,0,20,36.84,0.17,0.17
367,,Werik Popó,0.14,0,28.57,37.74,0.43,0.71
368,,Jang Jae-Woong,0.1,0,37.93,32.94,0.17,0.52
369,,Hyeon-je Kang,0,0,0,19.05,0.5,0.5
370,,Eun-woo Jeong,0,0,0,0,0,0
371,,Beom-young Lee,0,0,0,0,0,0.33
372,,Kim Hyun-seo,0,0,0,100,0,0
373,,Jae-min Seo,0,0,0,0,0,0
374,,Hyeong-keun Kim,0,0,0,0,0,0
375,,Paulo Rocha,0.5,0,25,43.33,2,3
376,,Won-jin Jeong,0,0,25,30.77,0.5,0.5
377,,Kim Jong-Seok,0,0,33.33,35.29,1,0
378,,Hyun-soo Hwang,0.07,0,48,48.48,0,0.21
379,,Han Jong-Mu,0.06,0,33.33,46.88,0.18,0.29
380,,Jun-jae Myung,0.38,0,14.29,27.78,0.38,0.5
381,,Sang-ki Lee,0,0,27.78,35.71,0.16,0.42
382,,Gi Sang-wook,0,0,100,36.84,0.11,0.44
383,,Dae-hwan Kim,0,0,0,24.44,0.1,0.45
384,,Chang-woo Park,0.07,0,20,41.03,0.13,0.33
385,,Sunho Kwon,0.08,0,9.09,27.45,0.42,0.58
386,,Jae-hee Jeong,0.14,0,38.46,25.58,0.14,0.57
387,,Seo Dong-han,0,0,0,62.5,0.33,0
388,,Sang-hoon Paik,0,0,0,16.67,0,1
389,,Kyung-rok Park,0,0,40,42.86,0,0
390,,Yo-han Go,0.17,0,16.67,25,0.67,0.83
391,,Kim Yeong-jun,0.22,0,38.1,37.29,0.78,0.67
392,,Ju Young-Jae,0,0,33.33,27.5,0.5,0.75
393,,Son Seung-beom,1,0,66.67,42.86,1,0
394,,Yun-ho Jang,0,0,50,60,0.5,0.5
395,,Seong-min Kim,0,0,0,25,0.5,0
396,,Kyu-hyeong Kim,0,0,20,30,0.2,0.2
397,,Kang Min-Sung,0,0,30.77,30,0.17,0.25
398,,Hu-sung Oh,0,0,0,29.41,0.5,0.67
399,,Jae-hun Choi,0,0,66.67,33.33,1,1
400,,Lee Seon-yu,0,0,100,27.27,0,0.5
401,,Seung-uh Ryu,0.13,0,11.11,28.85,0.25,0.75
402,,Seung-woo Seo,0,0,0,0,0,0
403,,Seong-min Hwang,1,0,0,0,0,0
404,,Sang-ki Min,0,0,30.77,42.86,1,1
405,,Kwang-Il Park,0.5,0,50,38.46,0,0.5
406,,Kim Jae-hyun,1,0,0,33.33,0,1
407,,Fabián Mina,0,0.5,43.75,37.93,0.5,1.5
408,,Jung Jae-yun,0,0,0,0,0,0.5
409,,Min Junyeong,0,0,100,50,0,0
410,,Sang-jun Kim,1,0,71.43,68.75,4,1
411,,Kim Hee-Seung,0.5,0,0,60,0,0.5
412,,Kevin Höög Jansson,0,0,50,50,0,0
413,,Park Yong-hui,0,0,0,0,0,0
414,,Cho Jin-hyuk,0,0,33.33,33.33,0,0
415,,Kim Se-hoon,0,0,0,50,0,0
416,,Jae-min Ahn,0,0,0,0,0,0
417,,Hyeon-woong Choi,0,0,50,50,0,0
